job_id,job_title,company,location,job_description,experience,education,salary_lpa,job_type,required_skills
JOB809570,Java Developer,IBM,"Nagpur, Maharashtra","We are hiring a Java Developer at IBM in Nagpur, Maharashtra. The role requires 0-1 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a part-time opportunity.",0-1 years,MCA,6.8,Part-time,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB731262,AI Engineer,Infosys,"Pune, Maharashtra","We are hiring a AI Engineer at Infosys in Pune, Maharashtra. The role requires 5-8 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Machine Learning, Deep Learning, NLP, PyTorch, LLM is preferred. This is a part-time opportunity.",5-8 years,BE Computer Engineering,6.8,Part-time,"Python, Machine Learning, Deep Learning, NLP, PyTorch, LLM"
JOB106814,Data Analyst,Tech Mahindra,"Noida, Uttar Pradesh","We are hiring a Data Analyst at Tech Mahindra in Noida, Uttar Pradesh. The role requires 0-1 years of experience and MTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a contract opportunity.",0-1 years,MTech Computer Science,7.2,Contract,"SQL, Power BI, Excel, Tableau, Python"
JOB452944,NLP Engineer,Persistent Systems,"Bengaluru, Karnataka","We are hiring a NLP Engineer at Persistent Systems in Bengaluru, Karnataka. The role requires 5-8 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, NLP, BERT, Transformers, spaCy, NLTK, Machine Learning is preferred. This is a part-time opportunity.",5-8 years,BCA,12.4,Part-time,"Python, NLP, BERT, Transformers, spaCy, NLTK, Machine Learning"
JOB865179,Business Analyst,HCLTech,"Hyderabad, Telangana","We are hiring a Business Analyst at HCLTech in Hyderabad, Telangana. The role requires 5-8 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, JIRA, Statistics is preferred. This is a contract opportunity.",5-8 years,BSc Data Science,11.2,Contract,"SQL, Power BI, Excel, JIRA, Statistics"
JOB838797,Cloud Engineer,Wipro,"Delhi, India","We are hiring a Cloud Engineer at Wipro in Delhi, India. The role requires 3-6 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Azure, Docker, Kubernetes, Terraform, Linux, CI/CD is preferred. This is a contract opportunity.",3-6 years,BSc Computer Science,8.4,Contract,"AWS, Azure, Docker, Kubernetes, Terraform, Linux, CI/CD"
JOB575435,Business Analyst,Deloitte,"Mumbai, Maharashtra","We are hiring a Business Analyst at Deloitte in Mumbai, Maharashtra. The role requires 2-5 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, JIRA, Statistics is preferred. This is a full-time opportunity.",2-5 years,MCA,6.5,Full-time,"SQL, Power BI, Excel, JIRA, Statistics"
JOB816751,Java Developer,LTIMindtree,"Hyderabad, Telangana","We are hiring a Java Developer at LTIMindtree in Hyderabad, Telangana. The role requires 2-5 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Docker, Microservices, SQL is preferred. This is a contract opportunity.",2-5 years,MCA,8.7,Contract,"Java, Spring Boot, Docker, Microservices, SQL"
JOB383060,Java Developer,Bosch,"Remote, India","We are hiring a Java Developer at Bosch in Remote, India. The role requires 1-3 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a part-time opportunity.",1-3 years,MCA,6.3,Part-time,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB169403,Software Engineer,Infosys,"Nagpur, Maharashtra","We are hiring a Software Engineer at Infosys in Nagpur, Maharashtra. The role requires 2-5 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Java, SQL, Git, REST API, Docker, Agile is preferred. This is a contract opportunity.",2-5 years,BTech Computer Science,6.6,Contract,"Python, Java, SQL, Git, REST API, Docker, Agile"
JOB358607,Data Scientist,Amazon,"Chennai, Tamil Nadu","We are hiring a Data Scientist at Amazon in Chennai, Tamil Nadu. The role requires 1-3 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, Statistics, Pandas, Machine Learning is preferred. This is a part-time opportunity.",1-3 years,Any Graduate,5.1,Part-time,"Python, TensorFlow, Statistics, Pandas, Machine Learning"
JOB245051,AI Engineer,Fractal Analytics,"Chennai, Tamil Nadu","We are hiring a AI Engineer at Fractal Analytics in Chennai, Tamil Nadu. The role requires 3-6 years of experience and MTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, NLP, LLM, Docker, Deep Learning is preferred. This is a internship opportunity.",3-6 years,MTech Computer Science,6.8,Internship,"Python, TensorFlow, NLP, LLM, Docker, Deep Learning"
JOB542666,SQL Developer,Infosys,"Mumbai, Maharashtra","We are hiring a SQL Developer at Infosys in Mumbai, Maharashtra. The role requires 1-3 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL Server, Python, MySQL, PostgreSQL, Database Design is preferred. This is a part-time opportunity.",1-3 years,BCA,8.2,Part-time,"SQL Server, Python, MySQL, PostgreSQL, Database Design"
JOB112038,Web Developer,Mphasis,"Gurugram, Haryana","We are hiring a Web Developer at Mphasis in Gurugram, Haryana. The role requires 3-6 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with HTML, CSS, JavaScript, React, Node.js, REST API, Git is preferred. This is a contract opportunity.",3-6 years,Any Graduate,11.2,Contract,"HTML, CSS, JavaScript, React, Node.js, REST API, Git"
JOB103402,Java Developer,Persistent Systems,"Mumbai, Maharashtra","We are hiring a Java Developer at Persistent Systems in Mumbai, Maharashtra. The role requires 2-5 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a internship opportunity.",2-5 years,BSc Computer Science,5,Internship,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB632323,AI Engineer,Capgemini,"Delhi, India","We are hiring a AI Engineer at Capgemini in Delhi, India. The role requires 3-6 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, NLP, LLM, Docker, Deep Learning is preferred. This is a contract opportunity.",3-6 years,BE Computer Engineering,10.3,Contract,"Python, TensorFlow, NLP, LLM, Docker, Deep Learning"
JOB612340,Web Developer,LTIMindtree,"Nashik, Maharashtra","We are hiring a Web Developer at LTIMindtree in Nashik, Maharashtra. The role requires 1-3 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with HTML, CSS, JavaScript, React, Node.js, REST API, Git is preferred. This is a full-time opportunity.",1-3 years,BTech Information Technology,7.1,Full-time,"HTML, CSS, JavaScript, React, Node.js, REST API, Git"
JOB182582,Data Analyst,Deloitte,"Nagpur, Maharashtra","We are hiring a Data Analyst at Deloitte in Nagpur, Maharashtra. The role requires 3-6 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a part-time opportunity.",3-6 years,BTech Computer Science,10.5,Part-time,"SQL, Power BI, Excel, Tableau, Python"
JOB273148,Business Analyst,Bosch,"Nashik, Maharashtra","We are hiring a Business Analyst at Bosch in Nashik, Maharashtra. The role requires 0-1 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Tableau, Excel, SQL, Business Analysis, JIRA is preferred. This is a internship opportunity.",0-1 years,BCA,7.9,Internship,"Tableau, Excel, SQL, Business Analysis, JIRA"
JOB804314,Data Engineer,Bosch,"Remote, India","We are hiring a Data Engineer at Bosch in Remote, India. The role requires 3-6 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a contract opportunity.",3-6 years,MCA,7.1,Contract,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB454508,Java Developer,Zoho,"Noida, Uttar Pradesh","We are hiring a Java Developer at Zoho in Noida, Uttar Pradesh. The role requires 8-12 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Docker, Microservices, SQL is preferred. This is a part-time opportunity.",8-12 years,BE Computer Engineering,8.1,Part-time,"Java, Spring Boot, Docker, Microservices, SQL"
JOB132938,Data Analyst,TCS,"Mumbai, Maharashtra","We are hiring a Data Analyst at TCS in Mumbai, Maharashtra. The role requires 2-5 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a part-time opportunity.",2-5 years,BTech Computer Science,4.4,Part-time,"SQL, Power BI, Excel, Tableau, Python"
JOB238739,DevOps Engineer,Zoho,"Nagpur, Maharashtra","We are hiring a DevOps Engineer at Zoho in Nagpur, Maharashtra. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD is preferred. This is a internship opportunity.",1-3 years,BSc Computer Science,4.8,Internship,"AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD"
